studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
peter Morgan,f,f,b,b,d,b,d,f,,
martin Murphy,b,d,b,b,a,b,b,b,d,d
Danny Santos,c,b,a,f,d,a,d,c,,
Erica ,b,d,a,b,d,,,,,
FARNK Bulolck,d,a,f,b,a,,,,,
Morgan Bortan,f,b,d,a,b,a,d,b,d,d
Ryan Blal,c,b,f,d,f,c,d,b,a,b
KEVIN Downs,c,c,f,f,,,,,,
BRANDON Bernas,b,c,d,b,b,c,c,b,,
Michelle Ross,f,f,b,a,f,c,b,d,f,a
DENISE ,a,a,a,a,d,a,,,,
Drew Thompson,b,b,d,b,b,,,,,
Vikcie Rhodes,f,f,d,f,d,f,b,c,b,d
Emily Saemrhn,a,a,c,,,,,,,
DIANE Dehutagry,c,c,b,d,d,b,b,c,f,b
Cassandra Mnan,b,d,c,f,c,f,,,,
janet Holt,a,c,a,f,d,d,a,,,
RHDNOA Webb,b,f,b,c,,,,,,
GAIL Avila,b,f,d,a,c,c,c,d,f,
george ,d,d,f,f,d,b,a,c,c,
Valerie Wiley,c,b,b,d,d,b,,,,
Bradley ,c,b,f,c,d,b,b,f,a,c
ASHLEE Jcksoan,f,f,c,b,a,f,f,d,d,
aeblrt Hayes,d,f,d,d,a,f,a,c,,
Claire Phillips,d,b,c,,,,,,,
Brendan ,c,d,b,a,c,,,,,
FCAIRNS Ekriocsn,b,f,c,c,b,a,a,,,
RALPH Clements,a,b,f,c,b,d,a,f,d,f
Kellie ,f,d,c,a,b,f,d,f,c,c
