studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Lraua Boyd,f,f,f,f,,,,,,
RACHEL Thomas,f,b,a,c,a,c,,,,
JORDAN Hubbard,b,b,b,f,f,b,a,b,c,
Patricia ,f,d,c,b,,,,,,
Mia Huang,b,a,b,d,c,b,,,,
tarmaa Pena,d,c,b,a,a,a,,,,
Tiffany Ramos,c,d,a,d,d,c,c,c,,
krlimbey Chang,b,a,b,,,,,,,
jecsisa Patterson,f,d,b,d,a,,,,,
JACK Hoffman,b,a,f,b,,,,,,
Jeremiah Lane,d,a,f,d,f,a,d,c,c,b
Louis Greeitruz,b,b,b,a,a,b,f,b,a,
KRAEN Gray,a,d,d,,,,,,,
GALRED Paosrns,b,c,a,b,a,b,d,a,,
Mnealie Deciosrkn,f,f,f,a,c,d,d,,,
Jonathon Fleming,d,c,c,f,d,,,,,
kristina Williams,c,b,d,,,,,,,
tnia Singh,f,a,f,a,,,,,,
natasha ,b,a,c,d,f,,,,,
DORIS ,b,f,a,d,,,,,,
Caytrsl Ramirez,b,f,c,b,d,d,,,,
VIRGINIA ,a,d,b,d,d,c,c,,,
Teresa ,b,c,c,,,,,,,
Cloleen Huang,d,f,a,f,c,d,a,,,
Anrdinee Setnevs,b,a,b,f,c,b,c,d,d,c
kaite Jensen,b,b,a,c,a,,,,,
AXLEA Vasquez,c,f,c,c,d,b,c,,,
