studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Robin ,f,f,b,d,b,a,f,a,a,
VERNIOCA Beoyr,b,a,c,f,c,c,f,c,f,
suasn Gonzalez,b,f,f,,,,,,,
anthony ,f,d,b,,,,,,,
Jhousa Stewart,b,a,f,,,,,,,
Glen Hernandez,c,c,b,a,a,f,d,,,
Curtis Dunn,d,c,f,a,f,b,b,d,,
aiclia Frederick,d,f,c,d,d,d,a,d,f,
Lauren ,b,f,b,f,c,f,c,,,
Nicholas Blair,b,a,a,a,,,,,,
HNANAH Benton,a,c,c,c,d,d,b,a,b,
Kelsey Fields,a,a,c,f,,,,,,
jared Norman,b,c,c,f,f,b,c,c,b,
bobby Lepoz,d,f,d,d,c,,,,,
Tabitha Liu,c,c,f,f,f,a,b,f,,
julie Cralk,a,d,b,c,c,c,f,f,,
MISTY Douglas,f,f,b,c,b,a,,,,
TRACEY ,a,d,b,d,a,d,f,f,,
Kathleen Levy,f,f,f,,,,,,,
Rachael Prince,f,a,b,c,f,,,,,
Brittany Winters,b,c,b,c,c,b,d,,,
Jon Eaton,a,c,f,d,,,,,,
Austin ,c,a,d,f,d,,,,,
gregory Kennedy,b,f,a,b,f,a,b,a,c,f
knearthie Bnjeiamn,b,a,f,,,,,,,
BDENLIA Curry,d,d,d,c,,,,,,
Lindsey Gordon,b,f,c,b,f,d,f,b,a,f
craols Brid,a,c,a,c,c,f,a,f,a,b
regina ,a,d,c,b,a,f,d,d,c,c
Whitney Hubbard,c,b,a,,,,,,,
andre Bullock,a,c,c,b,c,a,c,f,,
edward ,f,a,a,d,d,d,f,,,
