studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Sarah Ward,c,f,d,,,,,,,
Hthaeer Watson,b,c,a,d,d,f,f,f,a,
margaret Rush,a,c,a,f,c,,,,,
Cassidy ,f,f,b,f,f,a,b,,,
Tmmay Ceahlndr,c,f,f,c,c,c,a,b,d,a
Craig ,c,c,a,c,c,d,d,,,
RILEY Rivera,f,b,d,f,b,b,c,c,a,
CHRISTINE ,a,a,d,a,c,d,a,,,
Adrian Price,d,c,c,d,c,d,f,b,,
aaron ,b,f,d,c,,,,,,
anna Orr,f,a,c,,,,,,,
Deanna ,f,c,b,c,a,,,,,
michele Mlnacdod,b,b,b,b,d,c,c,a,,
Tara Ruodeirgz,f,b,a,f,c,d,d,c,a,
Regor Guerrero,a,d,b,d,b,c,c,f,d,
HECTOR Potter,a,d,f,c,,,,,,
jake Howard,f,b,f,f,f,f,b,a,f,
Giolra Wrad,c,c,c,d,c,b,f,,,
GABRIELLE ,f,f,a,,,,,,,
isaiah Garza,a,b,b,c,a,f,a,d,f,
ctolyan Kim,d,d,c,,,,,,,
sally ,a,d,d,b,c,d,b,b,d,b
Shawn Odom,c,f,a,c,b,c,,,,
Marissa Jones,d,a,a,f,f,,,,,
