studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
LAURA Boyd,d,f,a,,,,,,,
Rachel Taomhs,a,a,a,b,f,,,,,
jordan Hubbard,b,c,f,c,f,b,d,b,b,a
PATRICIA Perez,b,b,f,a,b,c,c,,,
MIA Huang,a,d,d,b,b,a,a,a,d,b
tamara Pena,f,f,a,b,a,,,,,
tiffany Ramos,c,d,b,c,c,f,f,c,c,
KIMBERLY Cahng,b,a,c,,,,,,,
jessica Presottan,f,f,f,c,b,d,d,d,,
Jack ,a,a,b,c,f,d,d,b,a,
Jeremiah Lane,c,f,f,b,a,,,,,
louis ,c,b,a,,,,,,,
Karen ,a,d,c,d,,,,,,
Gerald Parsons,a,c,a,c,f,c,a,a,,
Melanie Deicksorn,f,b,d,,,,,,,
jonathon Fleming,d,c,c,d,,,,,,
kristina Williams,f,f,f,b,d,c,,,,
Tina Singh,f,d,b,c,b,,,,,
NATASHA Moore,b,b,c,c,a,a,,,,
Doris ,b,a,f,d,a,a,c,f,f,b
crystal Ramirez,c,a,c,b,a,b,f,,,
vgriiina Hlal,d,d,d,a,f,a,,,,
TERESA ,f,c,c,f,c,f,,,,
CLOLEEN Huang,c,c,c,b,b,c,f,a,d,
Adrienne Stevens,d,a,f,f,d,c,b,a,,
Katie ,b,a,d,a,d,d,,,,
ALEXA Vasquez,b,c,a,f,b,b,,,,
