studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
amy ,d,c,c,f,a,,,,,
Kaitlyn Orr,b,c,c,c,b,c,b,,,
angela ,a,f,c,d,d,a,,,,
RICHARD Phillips,c,a,a,,,,,,,
Lisa ,d,f,b,c,b,d,a,c,b,c
KRISTINE ,f,a,b,d,f,,,,,
Megan ,a,b,a,a,b,b,a,c,f,
kenneth Guzman,d,c,a,f,c,c,c,a,,
csrntiiha Scott,d,a,b,c,d,d,a,b,b,d
NICOLE Dunlap,c,f,f,,,,,,,
Hunter Mcetihll,f,f,f,d,d,f,c,,,
clifford Myao,f,b,a,f,f,,,,,
travis Werarn,d,d,c,b,a,,,,,
jocelyn Burton,f,c,f,f,a,d,b,,,
BECKY ,b,c,d,a,c,d,d,c,b,
Ashley Hart,b,b,b,a,,,,,,
CLAEB Reid,c,a,a,b,b,c,a,,,
AGABIIL Mclaughlin,b,b,c,c,a,c,a,,,
CAITLIN Norris,b,c,b,a,d,,,,,
DENNIS Day,b,c,c,a,,,,,,
jillian ,c,d,a,a,c,f,c,d,c,f
ellen ,d,d,c,f,f,c,b,,,
SHANE Perez,a,d,b,c,c,b,,,,
eric Baker,a,b,a,c,d,b,d,b,,
Clarence ,c,d,a,c,,,,,,
Kathryn Ayers,c,a,d,a,b,f,f,d,b,
