studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
agcielna Kelly,b,d,a,a,,,,,,
JACQUELINE ,c,f,d,b,c,a,,,,
Allen ,c,c,d,b,,,,,,
ANAMDA Moss,b,d,d,d,a,b,b,c,d,c
Vicki ,c,d,b,f,f,d,f,b,d,a
Kara ,d,b,f,c,a,a,a,d,a,f
jfeennir Hall,b,d,f,b,d,b,b,f,d,
ross Winikls,d,d,c,c,,,,,,
TRACY Sanchez,d,a,a,b,a,d,a,,,
EVELYN Carroll,c,b,f,a,d,d,,,,
monica Stevens,c,d,f,d,b,a,c,,,
Wanda ,d,a,f,a,b,,,,,
Bianca ,d,b,c,b,a,f,b,b,f,a
Trevor ,f,c,c,b,,,,,,
mike ,f,b,b,,,,,,,
chad Yang,b,f,a,f,c,d,a,c,b,a
JESSE Pstoren,d,f,f,d,c,,,,,
connie ,d,b,d,,,,,,,
JODY Rbobnis,a,d,f,d,c,a,c,,,
Destiny ,b,f,f,a,a,f,c,d,a,a
Cynthia Gznolaez,a,c,c,a,d,,,,,
brent Cpamos,a,a,b,d,,,,,,
mhgean Thomas,f,f,f,b,,,,,,
VOIRTICA Mphury,d,f,b,a,,,,,,
lori Carroll,f,c,b,d,,,,,,
DONNA ,f,d,d,f,d,c,d,f,c,
