studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
agienlca Kelly,a,d,d,a,,,,,,
Jacqueline ,d,b,c,f,a,f,c,f,b,b
allen Day,a,d,b,c,d,c,a,c,,
amanda Moss,a,a,b,,,,,,,
Vicki Leach,c,c,a,a,f,,,,,
KARA ,f,f,a,c,c,b,d,a,,
Jnnfieer Hall,f,f,b,c,a,,,,,
RSOS Wilkins,d,a,f,f,,,,,,
Tracy Sanchez,a,b,d,,,,,,,
Evelyn Carroll,c,f,a,f,b,f,b,b,,
MONICA Stevens,a,f,f,d,,,,,,
Wanda Baker,c,d,a,b,d,f,c,d,c,a
bianca Cbsory,f,d,d,d,d,d,,,,
Trevor ,f,f,b,,,,,,,
mkie Mralsahl,d,a,d,,,,,,,
chad Yang,c,c,c,d,b,b,d,a,,
jesse ,d,c,a,c,f,,,,,
CONNIE Conner,a,d,b,f,a,,,,,
jody ,b,f,f,b,,,,,,
destiny ,c,c,a,a,b,a,a,f,f,c
CYNTHIA Gonzalez,d,a,d,c,d,a,d,,,
BRENT ,c,a,c,b,,,,,,
MEGHAN ,a,a,f,f,b,,,,,
victoria Murphy,f,a,b,a,f,b,d,b,b,c
Lori Carroll,b,f,b,b,b,b,,,,
DONNA ,c,c,c,a,a,d,a,a,a,
