studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Laura ,b,f,c,b,b,f,f,f,,
RACHEL ,b,d,f,a,f,f,c,c,a,
JORDAN Hubarbd,a,c,f,a,a,,,,,
Patricia Perez,c,a,d,f,b,f,a,b,f,b
mia Huang,b,f,f,a,b,b,c,a,,
TAMARA Pena,c,d,d,,,,,,,
TIFFANY ,a,b,a,f,f,a,,,,
KIMBERLY Chang,b,d,b,d,f,,,,,
JESSICA ,d,c,d,d,c,b,c,a,d,b
JACK ,a,d,c,,,,,,,
Jeremiah ,f,d,a,d,b,d,a,f,a,
louis Gutierrez,b,f,f,c,d,,,,,
Karen ,a,b,c,f,b,c,f,a,a,b
Gerald Parsons,b,a,d,d,b,d,a,,,
MELANIE ,a,a,f,,,,,,,
JOTHONAN Fmelnig,c,a,f,c,b,,,,,
KRISTINA Williams,a,d,d,a,d,d,f,,,
TNIA Singh,b,d,b,a,d,d,,,,
NATASHA Moore,f,c,b,d,d,,,,,
doirs Powell,c,d,d,d,b,c,c,f,,
crsatyl Ramirez,d,b,b,f,f,b,,,,
Virginia Hall,c,a,c,,,,,,,
teresa ,c,c,b,c,a,a,f,d,,
cloleen Huang,f,f,c,c,d,f,,,,
Adrienne Stnvees,c,f,f,b,f,d,c,a,c,a
KTAIE Jensen,d,f,a,f,b,d,,,,
ALEXA ,d,c,a,a,b,c,,,,
