studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Robin Wiley,b,f,a,,,,,,,
veronica Boyer,b,b,a,a,c,b,c,c,b,d
SUSAN ,d,b,b,c,d,f,a,c,b,
aohtnny Henderson,a,b,f,c,d,b,b,b,,
jhsuoa Stewart,d,f,a,d,f,d,f,d,,
glen Hernandez,a,f,c,,,,,,,
Curtis Dunn,b,b,c,,,,,,,
ALICIA Fircreedk,a,a,c,c,f,b,d,b,f,b
lauren ,b,f,f,d,,,,,,
Nicholas Blair,d,c,d,f,f,f,a,,,
Hannah ,f,c,c,c,,,,,,
Kelsey Fedlis,f,f,c,b,,,,,,
Jeard Norman,c,b,f,,,,,,,
bobby ,d,d,b,a,d,,,,,
tabitha Liu,f,f,f,,,,,,,
JULIE Carlk,b,f,f,f,d,d,d,d,,
misty Douglas,b,b,f,c,,,,,,
tracey Huodsn,c,f,f,d,a,,,,,
KATHLEEN ,d,b,d,,,,,,,
RHAACEL Pircne,a,f,c,b,b,f,b,b,c,f
Brittany Winters,a,b,d,a,f,c,d,c,,
JON Eaton,d,d,d,f,f,b,,,,
AITUSN Dennis,c,a,d,d,b,,,,,
Gregory Kennedy,c,d,f,b,,,,,,
KATHERINE ,d,d,b,d,c,b,b,f,b,
Belinda Curry,c,f,a,c,d,f,f,a,,
LINDSEY ,d,a,b,f,f,f,b,,,
carlos Bird,a,f,c,,,,,,,
REGINA Magron,a,f,c,b,d,c,a,c,c,
Whitney ,c,d,c,c,d,c,f,a,,
andre ,b,d,f,f,c,b,c,a,f,d
edward ,a,c,b,d,,,,,,
