studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Peetr Morgan,d,b,b,d,b,,,,,
mairtn Murphy,a,f,a,,,,,,,
dnnay Soatns,f,b,d,d,f,a,d,,,
Erica Villarreal,b,b,f,,,,,,,
FRANK Blluock,f,a,d,,,,,,,
MGARON Barton,d,a,d,d,a,c,,,,
Ryan ,f,a,b,d,a,d,,,,
kevin Downs,f,b,a,b,f,a,,,,
Bnrodan Berans,b,f,b,b,c,,,,,
michelle ,b,b,b,a,f,c,d,,,
dnsiee Richardson,f,b,c,b,d,a,c,,,
derw Thompson,c,b,b,a,,,,,,
Vickie Rhodes,f,b,d,f,b,a,a,,,
Elmiy Shramen,f,d,c,f,a,b,b,f,,
dnaie Daugherty,b,d,a,a,a,c,a,a,b,
Cassandra Mann,d,b,d,b,f,,,,,
janet Holt,c,f,c,b,d,c,,,,
rhonda Wbeb,f,d,f,b,c,b,a,c,d,
Gail ,f,c,f,b,a,c,d,f,d,d
GEORGE ,b,f,a,d,c,a,,,,
VALERIE Wleiy,b,c,c,,,,,,,
Blerady Dunn,d,f,d,d,b,f,a,c,,
ahesle Jackson,a,f,d,d,d,,,,,
ARLBET Hayes,b,a,c,b,f,d,d,,,
claire Phillips,a,f,b,b,f,c,,,,
brendan Caery,c,d,c,c,a,d,,,,
fniracs Ecsokirn,d,d,d,,,,,,,
RALPH Clements,a,c,c,d,f,,,,,
klelie Morrow,f,b,c,a,b,c,,,,
