studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
PETER ,d,a,b,d,f,a,,,,
MARTIN Murphy,f,b,f,a,b,b,d,,,
DNNAY Sntoas,b,f,d,b,c,a,,,,
ERICA Villarreal,d,f,a,a,d,b,a,f,f,
FRANK ,d,b,b,a,,,,,,
morgan Barton,a,c,a,f,f,c,d,a,b,b
ryan Ball,d,b,b,b,a,b,d,d,d,c
Kevin Downs,a,d,c,a,b,,,,,
Brandon Barnes,b,f,f,c,a,a,c,a,,
Mlieclhe Ross,d,d,b,b,a,b,a,,,
disene Rhoicsadrn,c,f,c,a,a,b,c,b,f,
Drew Tohmopsn,d,f,a,d,f,a,b,b,,
Vickie Rhodes,f,d,c,b,b,c,c,c,,
emily Sherman,a,f,d,b,d,f,a,b,,
Dniae Daeugrthy,c,a,d,d,a,b,,,,
Craasdsna Mnan,f,d,d,,,,,,,
janet ,a,c,f,b,c,,,,,
rhonda ,d,b,d,d,b,d,d,,,
GIAL Alvia,a,b,a,,,,,,,
gregoe Edwards,b,a,d,f,f,c,d,f,c,a
Vaerile Wiley,d,f,d,c,,,,,,
Blradey Dunn,a,c,b,,,,,,,
Ashlee Jackson,a,b,d,a,a,b,c,c,f,
albert Hayes,f,b,c,d,f,c,,,,
claire Phillips,f,c,c,d,f,c,c,f,d,f
BRENDAN Carey,b,a,d,a,c,f,d,b,a,
Francis ,f,f,f,,,,,,,
rpalh Clements,d,d,d,d,,,,,,
Kellie Morrow,d,f,d,c,b,,,,,
