studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
robin ,b,d,a,c,a,,,,,
VERONICA Boyer,c,f,d,b,d,a,c,,,
SUSAN ,f,a,c,f,a,f,a,f,a,a
ANTHONY ,c,c,f,c,f,a,c,,,
Joshua ,b,a,b,,,,,,,
Glen ,a,a,a,d,f,a,f,d,d,f
Curtis Dunn,d,b,b,d,,,,,,
alicia Frederick,b,a,d,,,,,,,
Learun Hayes,d,d,f,d,d,a,f,d,d,
NICHOLAS Bialr,a,d,a,c,,,,,,
hannah Bntoen,f,a,b,a,f,b,a,d,,
KELSEY ,a,d,b,a,a,a,c,b,a,d
jared Norman,b,b,b,c,c,,,,,
BOBBY Lopez,d,c,d,d,d,c,d,,,
tabitha Liu,f,f,b,a,d,d,d,a,,
Julie Clrak,f,d,a,c,,,,,,
Misty Douglas,a,a,c,b,a,c,f,,,
TRACEY Hudson,b,b,b,f,c,b,b,,,
KATHLEEN Levy,b,d,c,d,a,b,c,a,a,f
RACEHAL Prince,d,d,b,a,,,,,,
brittany ,b,a,b,b,c,a,f,c,a,f
Jon Eaton,a,c,b,b,f,d,f,b,f,b
ATISUN Dennis,a,d,b,,,,,,,
Ggerory Kennedy,b,c,f,c,d,a,,,,
Katherine Bmajnien,c,a,d,,,,,,,
BLEDNIA Curry,f,d,b,f,d,a,,,,
lindsey Gordon,c,f,f,a,f,c,b,,,
crlaos Bird,d,a,d,,,,,,,
REGINA Magron,a,c,d,c,f,b,,,,
WHITNEY Hbarbud,b,f,b,a,a,b,c,b,,
ANDRE Bullock,a,b,d,d,c,b,,,,
Erdwad Barton,d,f,d,b,f,b,c,,,
