studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
clinton ,a,c,f,d,f,b,d,,,
patrick Fuller,b,d,b,d,c,d,a,b,,
Jeffrey ,f,a,c,,,,,,,
Ktseirn Lee,a,d,f,c,,,,,,
Michael Martin,a,f,b,f,b,d,d,d,a,d
DANIEL Herrera,b,d,f,f,b,c,,,,
cthlrtaoe Adams,d,b,c,c,a,,,,,
brian Howard,f,a,b,b,a,c,d,b,b,
Sherri Garza,f,c,c,a,f,,,,,
KELLY Clements,a,b,d,a,f,,,,,
ROBERT Bennett,b,d,b,f,d,b,f,b,,
cindy Parker,b,a,f,d,,,,,,
cody ,d,c,f,c,b,b,a,c,c,
Troy Snyder,c,d,a,c,d,b,,,,
lindsay Hraris,a,d,f,f,b,b,,,,
deborah ,d,f,c,b,a,b,a,d,b,
SHAORN Bowen,c,a,c,d,b,a,c,a,,
gina Reese,b,a,c,c,,,,,,
Samuel Sanswon,a,c,c,c,a,d,d,,,
ALLISON Lmab,a,b,d,d,d,d,c,b,,
greg Babrer,b,b,f,c,b,a,d,d,,
Latoya Wrihgt,d,a,a,,,,,,,
larry Martinez,a,b,c,b,,,,,,
DANIELLE Mleroas,a,f,c,a,c,c,c,f,f,b
Kyala Feullr,c,a,d,a,b,a,d,b,a,
Evan Boyd,f,a,d,f,b,d,d,f,d,
CAROLYN Leach,c,c,a,a,b,d,c,b,,
gary ,d,a,d,a,b,a,c,,,
NHAATN Blair,b,a,b,a,a,,,,,
Gabriel Olson,d,b,f,a,c,c,d,b,d,
Baijnmen Harper,c,b,c,b,b,a,d,c,,
GORFEFEY Andersen,d,a,f,a,,,,,,
jane ,f,f,b,,,,,,,
