studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
peetr Morgan,b,b,c,b,d,c,c,,,
miatrn Murphy,a,a,c,c,,,,,,
DANNY ,c,b,f,b,b,b,c,,,
Erica Valarlriel,f,b,f,,,,,,,
frnak Bcolulk,a,b,a,d,a,b,b,d,d,b
MAGORN Barton,c,a,c,c,d,,,,,
ryan Ball,b,f,b,f,d,f,f,c,a,
Kvein Downs,c,c,a,a,a,d,c,f,a,
brandon ,d,d,c,b,b,f,,,,
MICHELLE ,d,d,d,d,d,,,,,
Dseine Rodsacrhin,c,f,c,c,a,f,f,d,,
drew Thompson,f,b,b,f,d,a,b,b,f,f
VICKIE Rhodes,c,f,a,b,,,,,,
Emily Sherman,d,a,d,b,a,d,a,,,
danie Dhtearugy,d,c,a,,,,,,,
CASSANDRA Mann,d,d,c,d,b,b,a,,,
janet Holt,a,c,a,c,a,d,d,d,,
Rhonda ,b,a,b,b,c,f,b,,,
GAIL Avila,d,c,d,a,f,b,a,,,
george Edwards,c,a,c,d,b,c,,,,
Vlaerie Wiley,c,c,f,c,d,c,b,c,d,
BALEDRY Dunn,d,b,f,f,a,f,c,c,,
ASHLEE ,c,b,b,,,,,,,
Albert ,c,b,a,c,c,c,d,b,,
CLAIRE Pilplhis,f,d,c,c,b,c,f,,,
brendan Carey,b,c,a,d,d,b,f,,,
FRANCIS Ekcroisn,b,c,c,d,a,b,d,,,
ralph Clements,b,f,a,d,f,,,,,
kellie Mrroow,d,f,a,d,,,,,,
