studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Robin Wiley,c,b,f,c,c,b,f,a,b,
VEINROCA Boyer,d,a,c,d,f,,,,,
SSAUN Gonzalez,a,d,c,c,b,b,,,,
ANTHONY ,a,c,f,d,,,,,,
Joshua Stewart,d,f,b,,,,,,,
GLEN Hernandez,d,c,c,,,,,,,
curtis Dnun,a,d,c,b,a,d,,,,
ALICIA Fedirecrk,a,d,f,f,c,,,,,
LAUREN ,f,d,a,a,a,,,,,
Nicholas Balir,c,f,c,b,b,b,a,f,c,
Hannah Btnoen,a,d,f,,,,,,,
KEESLY Fields,a,a,c,b,a,,,,,
JARED ,b,f,b,f,,,,,,
Bbboy Lopez,c,a,d,d,,,,,,
TABITHA ,a,f,f,,,,,,,
JULIE Clark,a,b,b,f,d,c,f,,,
mtsiy Dlugoas,d,f,c,b,b,,,,,
TRACEY Hudson,a,d,b,d,f,b,,,,
kelhaetn Levy,b,c,b,b,b,f,b,f,f,
Rachael Prince,b,d,d,b,d,c,f,f,b,b
BRITTANY Winters,c,b,c,a,c,b,c,a,c,
jon Eaton,b,d,a,c,,,,,,
Austin Dennis,f,f,d,c,f,b,b,f,,
gregory Kennedy,a,c,c,d,a,f,,,,
Ketahirne Benjamin,d,a,b,a,d,a,f,b,,
Bledina Curry,b,d,d,b,a,b,b,a,d,
lindsey Gordon,f,b,d,f,d,,,,,
crlaos Bird,c,d,d,b,b,d,a,c,,
regina Morgan,f,f,d,c,a,b,,,,
WEIHTNY Hubbard,b,b,f,f,,,,,,
ADNRE Bullock,f,c,f,f,a,f,a,,,
eawdrd Barton,f,d,a,f,a,c,c,b,,
