studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
angelica Klely,d,c,a,d,f,c,a,b,f,c
JACQUELINE ,c,d,f,d,d,a,a,b,c,
ALLEN ,c,a,b,,,,,,,
Amanda ,c,a,b,,,,,,,
Vkcii Leach,f,f,b,a,,,,,,
kara Green,f,c,f,,,,,,,
Jennifer Hall,d,b,d,c,c,,,,,
ROSS Wkiilns,f,f,a,c,c,a,a,f,c,c
tracy ,b,f,c,a,f,c,b,a,d,
Evelyn Carroll,b,d,c,f,c,d,c,b,c,
mcnoia Stevens,c,b,f,d,d,b,d,,,
Wanda Baker,b,c,b,b,d,b,d,b,f,
BICANA Cosbry,d,c,c,d,a,a,c,f,,
Trevor Wheeler,f,a,f,c,d,,,,,
MIKE Mhslaarl,b,f,c,c,c,d,f,c,,
chad Yang,f,b,c,,,,,,,
jsese Potsern,b,c,c,c,f,b,f,a,d,
connie ,c,f,f,f,b,c,f,f,d,a
Jody Rnbobis,b,f,a,b,b,,,,,
destiny Kelly,f,d,b,f,,,,,,
CYNTHIA Gonzalez,a,a,b,d,b,f,f,,,
brent Campos,d,b,d,d,f,c,a,b,c,
Meghan Thomas,c,c,b,c,b,,,,,
victoria Murphy,b,a,d,b,,,,,,
Lroi Carroll,f,b,c,a,f,f,d,,,
donna Clark,a,f,f,a,a,d,f,,,
