studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Laura Boyd,f,c,f,d,d,b,b,,,
Rcehal Tohams,c,a,d,a,c,d,b,a,c,
JRDAON Hubbard,b,c,f,,,,,,,
patricia ,f,d,a,b,a,f,d,d,,
mia Huang,d,b,f,c,b,d,a,c,a,d
tamara Pena,d,a,b,d,,,,,,
TIFFANY Ramos,f,d,a,b,c,f,,,,
Kriebmly Chnag,d,c,a,d,b,d,c,c,d,
JESSICA Pratosetn,f,a,a,,,,,,,
JACK ,d,a,f,d,d,d,b,a,a,f
jeremiah Lane,a,d,d,d,b,f,a,,,
luois Geitrruez,c,f,a,d,f,a,f,d,f,d
karen Gray,b,a,b,d,b,f,b,b,,
Gerald Parnsos,f,d,c,,,,,,,
Melanie Dickerson,f,c,a,a,,,,,,
JONATHON Filnemg,c,b,d,d,d,f,c,,,
KRISTINA Williams,a,d,b,c,,,,,,
Tina ,a,f,a,c,c,a,a,a,,
natasha Moore,a,d,a,c,,,,,,
doris Powell,a,a,c,d,,,,,,
Caytrsl Ramirez,a,f,d,f,c,c,c,,,
Virginia Hall,d,b,b,d,d,a,c,d,,
teresa Powers,b,d,c,d,,,,,,
Colleen ,c,a,a,c,c,c,a,f,d,
adrienne Stevens,b,c,a,b,d,,,,,
Katie Jensen,c,a,a,a,d,a,,,,
Alexa Veauqsz,d,b,a,a,a,c,b,c,,
