studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Clinton Nyegun,a,c,c,f,a,b,f,c,a,
Patrick Fuller,a,a,f,f,a,c,c,b,d,d
JEFFREY Brown,f,d,a,d,d,a,f,b,c,
KRISTEN Lee,f,d,d,b,f,c,,,,
Michael Mtiran,d,f,a,c,,,,,,
DANIEL ,b,a,a,a,b,d,,,,
cohrtlate Adams,f,b,d,c,f,a,c,b,b,
Brian Howard,f,b,d,d,f,,,,,
srerhi Garza,a,a,f,b,d,a,d,b,b,
Kelly Cmnetles,d,c,f,a,f,a,,,,
Reobrt Bennett,c,d,f,d,c,b,b,d,,
CINDY Pkaerr,c,d,a,f,c,d,b,,,
Cody ,b,f,a,c,a,b,,,,
Troy ,a,c,d,d,c,a,c,,,
lindsay Harris,d,f,a,f,b,c,,,,
DEBORAH Maddox,a,f,d,c,f,,,,,
saorhn Bowen,a,f,d,f,b,,,,,
Gina Reese,f,c,d,a,f,f,d,,,
SAMUEL ,c,a,b,d,a,c,d,f,a,b
allison Lamb,f,c,c,b,b,f,a,a,a,d
greg Barber,d,d,d,c,c,a,,,,
LATOYA ,b,c,c,c,,,,,,
Larry ,a,f,d,f,a,d,d,a,d,
DEILALNE Morales,b,f,b,d,b,f,f,c,d,b
kayla Feullr,f,a,b,b,f,d,a,b,f,
EVAN ,c,f,f,c,,,,,,
Caroyln Lcaeh,f,f,d,f,,,,,,
GARY ,a,b,c,c,b,a,b,b,,
NATHAN ,d,a,c,,,,,,,
GABRIEL Osoln,d,d,a,b,c,a,c,,,
Benjamin Harper,a,c,c,,,,,,,
Georfefy Andersen,a,b,b,b,d,f,c,,,
Jane Betnent,b,f,a,c,b,d,c,b,,
