studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
PETER ,a,f,b,f,d,c,b,,,
MITRAN Murphy,c,a,d,f,f,f,,,,
danny Stnoas,a,f,c,c,d,,,,,
ERICA ,d,c,f,d,c,,,,,
FRANK ,d,b,c,a,b,,,,,
Morgan Braton,d,f,d,,,,,,,
rayn Blal,b,a,c,b,d,c,b,a,b,d
kevin ,a,b,a,c,d,a,b,f,b,d
barnodn Barnes,c,a,f,d,,,,,,
MICHELLE Ross,c,b,d,b,d,,,,,
denise Richardson,f,c,d,f,d,f,f,,,
DREW Thompson,b,b,a,b,d,f,a,,,
VICKIE Rhodes,b,c,b,a,,,,,,
EMILY Sherman,c,c,a,b,c,f,f,d,,
Diane Druteghay,c,d,c,b,,,,,,
cassandra Mann,b,a,a,d,,,,,,
JANET Holt,c,c,d,c,f,d,c,c,a,d
Rhonda Webb,f,f,f,b,d,a,a,a,,
Gail Avila,f,a,c,f,c,f,,,,
GEORGE ,c,b,f,d,c,f,d,,,
Valerie Wiley,b,b,c,f,f,f,a,f,a,
bradley Dunn,b,a,d,,,,,,,
ashlee Josackn,d,d,a,c,f,f,d,d,,
albert Haeys,f,b,f,f,d,,,,,
Claire Phillips,d,b,c,a,d,a,,,,
Brendan ,a,a,f,b,f,d,,,,
Francis Erickson,d,a,c,d,c,c,a,d,,
RALPH ,b,c,f,c,,,,,,
kellie Mrorow,f,b,c,a,f,b,b,f,d,b
