studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
AILENCGA Klely,b,c,c,c,c,b,d,,,
jacqueline ,a,c,b,a,f,f,c,,,
allen Day,a,c,c,a,,,,,,
ANADMA Moss,b,a,a,d,c,,,,,
VICKI ,f,a,b,,,,,,,
kara Geern,c,f,c,c,b,a,c,a,a,b
Jennifer ,c,a,d,c,b,a,f,c,b,c
Ross ,b,f,d,f,b,b,a,,,
tarcy Sanchez,b,f,c,d,b,d,b,f,,
Evelyn Crrlaol,a,b,f,a,d,f,b,c,d,
monica Snetves,a,b,c,f,f,a,f,,,
wanda Baker,a,b,b,f,d,d,b,a,,
Bianca Crsboy,f,a,c,c,b,b,c,b,,
TROEVR Weleehr,b,c,f,b,d,a,a,,,
Mike Marshall,c,c,c,,,,,,,
Chad ,f,b,d,b,f,b,,,,
Jssee Preston,a,d,c,,,,,,,
CONNIE Cnenor,f,a,c,f,c,b,,,,
Jody Rnbbois,b,b,d,,,,,,,
DESTINY Kelly,c,a,c,d,a,,,,,
Cynthia Gzelaonz,b,a,c,a,c,f,a,a,b,c
Brent ,a,b,d,d,f,b,a,d,a,
Meghan Tamhos,c,f,d,f,c,f,d,c,,
VROCTIIA Murphy,d,f,a,c,d,f,d,c,f,
LORI Carroll,a,c,a,f,a,a,d,b,b,f
DONNA ,f,a,b,a,a,f,c,,,
