studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
sarah ,a,d,d,,,,,,,
HEATHER Wtosan,a,a,a,d,b,c,f,,,
Margaret Rush,a,a,a,a,c,,,,,
csasdiy Duncan,d,d,b,f,a,,,,,
tmmay Chandler,f,b,d,b,d,c,,,,
Craig Everett,b,c,d,,,,,,,
riley Rivera,b,d,b,a,d,d,f,c,,
CHRISTINE Tyolar,f,b,b,a,a,f,c,a,b,
Adrian Price,d,b,a,,,,,,,
aaron ,f,a,f,b,c,d,b,b,a,c
Anna ,f,f,f,a,c,c,a,a,b,c
deanna ,d,a,a,a,b,d,b,d,b,
michele Mcdonald,c,f,a,a,d,b,a,b,b,f
Tara Rodriguez,b,b,f,d,d,d,d,a,a,
Reogr Guerrero,d,b,a,a,f,f,c,a,a,
Hector Poettr,c,f,f,f,a,,,,,
jake ,f,f,c,,,,,,,
GROILA Wrad,b,f,b,d,b,f,c,b,a,
gabrielle Pena,c,b,a,a,,,,,,
isaiah ,b,d,c,d,b,f,d,f,c,d
clayton Kim,a,a,b,b,,,,,,
SALLY ,c,d,f,b,b,c,,,,
shawn ,a,a,d,b,,,,,,
MSSIARA Jones,f,d,d,b,a,c,c,d,f,
