studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
robin Wiley,a,f,b,a,c,f,b,a,b,
Veronica ,a,a,d,a,a,,,,,
susan Gzneaolz,f,b,d,a,f,d,d,a,a,b
anthony ,a,b,a,b,b,d,b,c,,
Joshua ,a,a,d,c,b,f,,,,
Glen Hernandez,f,c,f,c,f,f,f,d,,
Curtis ,c,b,c,f,a,,,,,
alicia Frederick,a,a,d,b,d,,,,,
Lauren ,c,c,b,a,d,f,d,,,
NICHOLAS Blair,f,d,b,a,b,f,d,,,
hannah Btenon,c,b,a,,,,,,,
KELSEY Fildes,f,a,c,b,a,d,d,a,a,
Jread Norman,b,f,f,,,,,,,
Bobby Lopez,f,d,d,d,b,a,b,d,,
TABITHA Liu,b,d,c,a,d,,,,,
julie Cralk,c,f,b,f,,,,,,
MISTY Douglas,c,a,a,b,a,f,c,b,d,f
tracey ,f,c,f,d,c,c,b,,,
Kathleen Levy,b,a,b,a,,,,,,
RACHAEL Prince,f,d,f,f,b,c,,,,
brittany Winters,a,f,d,f,f,d,f,,,
jon Eaton,d,d,a,d,d,b,,,,
AUSTIN Dennis,f,c,f,b,a,c,,,,
Gregory Kennedy,d,d,a,a,c,d,c,,,
katherine Benjamin,a,d,b,f,d,f,c,b,a,f
Benldia Curry,b,f,f,b,a,c,c,,,
ldsieny Gordon,a,d,f,c,,,,,,
COARLS Bird,c,c,b,a,b,a,a,f,,
Regina Mgaron,b,d,f,a,f,c,,,,
Wheitny Hubbard,a,a,f,f,,,,,,
Andre Boclulk,f,c,a,a,a,a,d,a,b,d
EDWARD Btaorn,c,d,a,,,,,,,
