studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Robin Wiley,c,f,c,b,,,,,,
veronica ,d,c,f,f,,,,,,
SUSAN ,f,c,b,c,f,d,b,f,f,
anthony ,d,b,b,,,,,,,
JOSHUA Stewart,d,d,f,a,d,c,b,d,c,
GELN Hedanenrz,c,a,b,c,c,b,a,c,f,
curtis Dunn,f,b,a,a,f,,,,,
ALICIA Fedeicrrk,b,f,d,d,a,c,f,c,c,f
lauren Hayes,c,d,f,c,a,d,b,c,,
Ncaiolhs Blair,d,f,f,b,c,a,a,,,
hannah Benton,d,c,b,f,f,a,,,,
KSLEEY Fdleis,a,a,c,b,d,d,,,,
jared Norman,f,a,d,c,a,,,,,
bboby Lopez,c,f,a,,,,,,,
tabitha Liu,c,f,c,c,b,d,d,d,f,
JULIE ,f,d,f,a,b,f,a,a,,
misty Douglas,c,d,d,b,b,,,,,
Tracey Hosudn,f,b,a,c,b,f,d,,,
KATHLEEN Levy,c,f,b,d,c,a,,,,
rachael Prince,b,d,f,c,a,,,,,
bntritay Weinrts,c,a,c,a,f,f,d,a,a,a
Jon ,b,d,b,a,a,c,c,a,b,
AUSTIN ,b,d,b,c,d,b,d,c,,
GREGORY Kndeeny,a,b,d,a,b,a,,,,
KEIANHRTE Benjamin,d,b,f,b,d,a,a,d,d,b
BELINDA Crury,c,b,d,f,c,b,a,b,b,
Lnsdiey Gordon,a,b,d,c,,,,,,
carlos Bird,d,c,f,a,d,a,f,d,,
regnia Morgan,d,d,a,f,f,f,,,,
whitney Hubbard,b,c,b,b,,,,,,
ANDRE ,b,b,b,b,b,c,,,,
Edward Barton,a,b,d,d,,,,,,
