studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Victor Williams,a,c,b,c,,,,,,
tyler Morrison,a,d,f,c,b,d,b,,,
SNDARA Norris,d,d,a,f,c,,,,,
Thomas Davis,c,f,d,c,d,a,a,b,,
mesilsa Rodriguez,c,d,b,,,,,,,
COURTNEY ,a,f,a,b,c,b,c,,,
April ,f,c,a,a,b,c,c,f,d,
stephen Travis,c,b,f,c,,,,,,
rebecca Olson,c,d,c,d,d,,,,,
ALEXANDRA Potter,f,b,b,f,c,d,f,,,
BARBARA Ecroiskn,c,b,b,c,b,d,b,,,
Bailey ,a,f,a,b,,,,,,
SAMANTHA ,c,d,c,,,,,,,
scott Sims,f,a,f,f,,,,,,
anjedarlo Wolfe,b,a,a,b,b,f,d,,,
Natalie Srcatwhz,b,c,d,c,,,,,,
edgar Cantu,c,d,a,d,,,,,,
Fred ,b,b,b,a,a,b,f,a,a,c
christy Scpener,d,f,b,a,c,b,f,,,
STACY Nguyen,b,c,a,f,b,,,,,
Kyle Boyer,a,d,a,,,,,,,
Drraen Rreomo,a,f,b,c,d,f,d,b,,
katrina Lee,c,d,c,d,b,b,c,,,
KEITH ,d,f,d,a,c,,,,,
alsysa Juarez,b,a,c,f,d,b,f,f,,
lynn Giffrin,a,b,d,c,d,d,c,,,
KATHY ,d,b,b,d,b,,,,,
brandi Virarallel,b,c,c,d,b,f,f,f,b,c
GRANT ,b,b,b,f,d,c,d,b,f,b
wendy Sanchez,d,b,b,b,a,,,,,
LOGAN ,f,c,f,f,c,f,,,,
