studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
victor Williams,d,a,d,f,c,f,d,d,d,d
TYLER Morrison,b,a,a,a,c,d,,,,
sandra Norris,a,f,a,c,d,d,c,,,
Tomhas Dvais,c,b,c,f,a,d,f,c,,
Melissa Rodriguez,a,b,f,f,c,d,f,,,
CEOURNTY Gurerero,f,c,b,a,d,f,b,d,,
April Mosley,a,c,b,b,a,d,a,c,c,
Stephen Trvais,b,b,f,a,c,d,b,f,f,a
Rcbecea Olson,a,b,a,,,,,,,
ALEXANDRA Potter,d,b,a,,,,,,,
barbara Erickson,f,c,c,b,d,d,f,,,
BAILEY ,b,f,d,f,a,f,c,d,f,
SAMANTHA ,c,f,f,f,c,,,,,
Scott Sims,c,f,b,b,d,a,f,c,,
Alejandro ,d,d,d,f,d,b,b,b,c,c
Naliate Scwhratz,f,f,f,c,c,c,b,,,
EGDAR Cantu,a,b,f,b,c,c,c,,,
Ferd Welch,f,b,b,a,c,f,d,c,,
CSTIHRY Specenr,c,d,d,d,c,f,b,c,,
STACY ,c,c,f,b,,,,,,
KYLE Byoer,f,a,f,d,b,,,,,
Darren ,d,f,b,,,,,,,
KATRINA ,b,a,b,b,d,f,,,,
KTEIH Garcia,a,a,c,d,,,,,,
Aslsya Juarez,b,c,c,d,c,c,a,,,
lynn Griffin,c,f,a,,,,,,,
Khtay Tvaris,b,b,b,,,,,,,
Brandi Villarreal,c,b,d,c,a,,,,,
GNRAT Wiiklns,a,c,d,c,b,c,f,c,a,
wendy Sanchez,d,a,b,a,c,f,b,b,f,d
logan Douglas,a,a,c,b,a,,,,,
