studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
LAURA Boyd,b,f,c,b,f,d,c,c,,
RACHEL ,c,c,a,,,,,,,
JORDAN ,a,b,f,b,d,,,,,
patricia Perez,f,a,f,a,b,b,c,c,d,
mia ,c,c,a,a,d,a,c,c,,
Tamara Pena,c,b,d,f,b,b,f,a,f,c
TIFFANY Roams,f,c,b,c,a,,,,,
kimberly Chang,f,f,d,d,c,a,b,d,d,d
JSESICA Patterson,d,c,c,d,a,,,,,
JACK ,f,b,c,c,c,,,,,
jeremiah Lane,c,d,f,a,f,f,d,a,,
Louis ,d,c,c,a,d,c,,,,
karen ,d,b,b,c,a,a,d,f,,
gerald ,b,a,b,b,d,b,d,,,
MELANIE ,d,b,b,c,c,f,d,b,,
Jonathon ,b,a,d,c,c,,,,,
KRISTINA Williams,d,d,f,a,b,,,,,
Tina Sginh,b,a,b,f,,,,,,
naahsta Moore,a,b,c,b,f,b,b,,,
DORIS ,c,b,b,f,a,c,b,f,d,f
CRYSTAL Ramirez,c,b,f,a,f,d,f,d,,
Vinigira Hall,a,d,f,,,,,,,
TERESA ,d,c,d,f,f,d,c,f,,
COLLEEN Huang,b,b,b,,,,,,,
adrienne ,a,a,f,,,,,,,
KATIE Jensen,b,d,d,,,,,,,
alxea Vasquez,f,b,c,d,b,a,d,b,c,
