studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
angelica Kelly,b,d,c,b,d,b,b,,,
Jacqueline ,f,f,c,f,a,,,,,
ALELN Day,d,f,c,f,a,d,c,,,
Amanda Moss,f,b,f,b,,,,,,
Vkcii Leach,a,f,c,c,a,a,d,b,f,
KARA Green,a,d,f,f,,,,,,
JENNIFER Hall,d,f,a,f,c,f,,,,
ROSS ,d,c,f,d,,,,,,
tracy ,d,a,b,f,c,,,,,
evylen Carroll,f,a,a,a,a,f,b,d,,
moinca Stevens,d,c,f,,,,,,,
WANDA Baker,a,a,d,a,d,a,f,c,d,b
Bianca ,b,b,c,a,,,,,,
teovrr Wheeler,f,a,f,f,f,c,,,,
MIKE ,f,b,f,b,b,c,c,f,,
chad ,d,c,f,c,,,,,,
jsese Preston,a,d,c,c,f,,,,,
CONNIE ,d,c,a,b,b,a,f,f,b,c
Jdoy Rbbions,f,b,f,f,a,f,d,f,,
Destiny ,f,c,d,f,c,a,c,,,
Cynthia Gonzalez,f,d,f,a,f,,,,,
Brent ,f,d,d,a,d,d,c,a,,
MEGHAN ,b,d,b,d,f,f,,,,
Victoria ,b,f,b,f,,,,,,
Lori Carroll,c,d,b,a,a,a,c,c,d,
Donna Clark,c,a,c,,,,,,,
