studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
CHRISTOPHER ,d,a,b,a,a,,,,,
Steve Romero,c,f,f,b,b,c,a,,,
alex Morleas,a,a,c,b,b,,,,,
marcus ,f,d,d,f,d,a,,,,
Mriaa Mdnocald,c,b,d,c,f,f,c,,,
Catherine ,b,b,d,a,a,b,c,b,,
Renee Griffin,a,a,f,b,a,f,a,b,,
Wayne ,f,c,a,c,f,b,,,,
MRDINAA Ayers,d,b,a,d,f,f,c,,,
jacob Graham,a,d,f,f,b,a,,,,
jay Steele,b,d,c,a,f,c,b,,,
HAROLD ,f,c,a,,,,,,,
TAYLOR Obrnose,f,f,b,c,a,d,b,,,
Holly Simpson,b,b,c,c,b,c,a,c,a,
PAUL Wlles,a,f,c,f,d,b,d,b,c,
phillip Hwkinas,f,f,b,,,,,,,
ronald Saunders,f,d,c,f,,,,,,
lucas ,d,b,a,c,c,d,,,,
pam Cetarr,a,c,a,b,a,a,a,c,b,f
faith Moss,c,c,b,f,d,f,d,f,b,a
SHEILA Mraitn,d,a,d,d,b,c,b,,,
sean ,f,f,b,d,a,f,d,,,
dnaa Patel,a,c,a,c,c,a,,,,
Carla ,d,c,b,b,a,a,f,d,a,b
Krystal Peterson,d,c,c,b,c,b,f,,,
JEAVIR Parker,f,d,a,b,f,f,a,a,a,
