studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Luraa Boyd,b,f,b,d,d,f,,,,
rachel Thomas,c,c,f,,,,,,,
JORDAN Hubbard,b,d,b,c,d,f,f,a,f,
patricia Peerz,b,c,d,f,d,b,b,c,,
Mia ,b,a,c,a,,,,,,
tamara Pnea,a,a,f,,,,,,,
tiffany Ramos,c,d,b,d,b,f,f,a,,
kimberly ,d,a,d,b,d,,,,,
JESSICA Patterson,a,d,a,f,a,c,f,c,f,
jack ,f,b,c,d,,,,,,
Jeremiah ,a,b,d,b,a,c,,,,
LOUIS Gutierrez,b,b,a,,,,,,,
Kaern Gray,f,c,c,a,a,d,f,,,
GERALD Parsons,a,a,c,f,,,,,,
Melanie ,d,b,a,c,b,b,,,,
Jonathon Felming,d,b,a,f,,,,,,
kristina Williams,b,b,f,c,c,f,,,,
TINA Singh,c,a,b,b,d,d,,,,
NATASHA Moore,c,c,a,,,,,,,
DIROS Pwelol,d,f,a,f,d,a,a,d,a,c
Crystal ,a,f,d,a,c,d,c,d,,
VIRGINIA Hlal,b,b,a,a,f,f,d,d,,
TERESA Powers,b,f,a,b,d,c,f,c,f,
CELELON Huang,a,a,d,,,,,,,
adrienne Stevens,a,b,c,d,f,b,f,,,
Katie Jensen,b,a,d,d,a,b,,,,
ALEXA ,d,b,f,,,,,,,
