studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
CHRISTOPHER Singh,c,d,f,a,b,f,f,d,f,
Svete Romero,f,d,d,c,b,c,a,c,a,b
aelx Morales,c,b,a,b,a,,,,,
MARCUS Moroe,f,c,f,f,f,c,b,a,,
MARIA Mcdonald,f,b,b,b,,,,,,
CATHERINE ,c,c,f,c,f,f,b,c,f,f
reene Griffin,c,d,b,f,d,c,c,,,
wayne Morrow,c,f,f,c,a,,,,,
MDAINRA Ayers,f,a,a,c,,,,,,
Jacob ,d,f,a,a,d,a,,,,
Jay ,b,a,f,d,a,b,d,,,
harold Myers,b,d,c,f,f,c,b,,,
Taylor Obrnose,f,c,f,d,d,d,b,d,,
hloly Ssompin,a,d,d,b,c,c,f,f,c,
Paul Wells,f,c,d,d,f,b,b,f,b,b
PHILLIP Hawkins,c,b,f,d,,,,,,
ronald ,b,d,f,b,c,f,,,,
lucas Liwes,a,f,a,a,f,,,,,
pam Carter,a,b,c,a,c,f,f,c,c,
faith Moss,a,a,c,,,,,,,
SIEHLA Mriatn,a,f,f,,,,,,,
sean Fields,d,c,c,d,b,f,,,,
Dana Pteal,d,d,d,c,b,f,f,,,
carla ,b,c,f,b,f,,,,,
krastyl Peterson,f,c,f,c,c,d,f,b,a,a
jiaevr Parker,d,d,f,f,b,d,c,b,,
