studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
CHRISTOPHER ,b,d,c,f,c,b,f,,,
steve Romero,d,f,d,c,c,,,,,
ALEX ,a,d,c,a,,,,,,
marcus Moore,c,c,a,,,,,,,
MARIA Mcdonald,f,a,a,,,,,,,
catherine Riaermz,d,c,b,,,,,,,
RENEE Griffin,b,f,d,c,a,d,a,d,,
wayne ,d,c,f,d,f,,,,,
miranda Ayers,d,a,a,c,c,c,d,c,a,f
Jacob Graham,f,f,b,f,a,b,a,,,
jay Steele,c,c,b,c,f,c,c,a,d,
harold Myers,d,d,f,f,f,f,b,c,,
TAYLOR ,c,f,d,c,a,c,,,,
HOLLY Ssiompn,d,c,d,,,,,,,
paul Wells,f,d,a,a,d,f,b,,,
phillip ,d,b,d,d,,,,,,
ronald ,d,a,b,f,b,f,a,c,,
Lacus Lewis,c,b,d,b,a,b,b,,,
PAM Cretar,c,a,a,,,,,,,
faith Moss,b,a,d,a,,,,,,
Sielha Martin,f,c,c,c,,,,,,
sean ,a,f,b,,,,,,,
DANA Patel,d,b,b,a,f,b,,,,
carla ,f,c,f,d,d,d,a,f,c,a
Katrsyl Peterson,f,d,d,b,c,b,b,c,d,f
Jivaer Parker,b,b,d,f,a,b,f,d,f,
