studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
DAVID ,d,f,d,,,,,,,
SNNHOAN Jackson,f,b,d,,,,,,,
MRAK Juraez,a,c,a,d,c,a,,,,
JOSEPH ,a,c,d,a,b,f,c,,,
Jtsuin Craey,c,d,d,d,d,b,d,f,,
Meagan Lynch,f,f,d,a,a,c,f,f,c,d
Felicia Perry,f,f,b,d,c,c,d,c,f,
kylie ,c,b,d,f,c,d,,,,
JDUY Cortez,d,a,c,f,b,,,,,
Eidde Gdarenr,a,a,a,c,a,d,a,b,d,
jamie Doixn,b,a,c,d,f,c,b,b,b,c
agnel Keller,a,d,f,f,a,f,b,f,,
LEAH Strong,d,a,b,a,c,f,a,,,
daisy Morrison,b,d,a,,,,,,,
ALEXIS ,b,a,a,c,c,a,a,d,,
JOHNNY Fiedrreck,a,b,d,b,f,f,a,c,b,d
Mraie Green,a,a,b,,,,,,,
alexandria Santos,b,d,c,d,d,,,,,
Devon Mosley,f,d,c,,,,,,,
tommy ,d,a,b,c,c,f,,,,
ANN Lopez,c,b,c,c,d,b,f,,,
