studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Peter Morgan,b,f,d,d,b,,,,,
martin Murphy,a,b,b,d,b,,,,,
DANNY Santos,a,c,f,f,f,f,,,,
Ecria Villarreal,c,c,c,a,c,b,b,,,
FRANK Bullock,b,c,c,f,c,f,b,f,,
morgan ,c,f,c,a,f,a,d,,,
ryan Blal,f,f,d,f,b,a,,,,
kvein Downs,c,d,b,a,c,,,,,
BNARODN Barnes,d,f,d,a,d,a,a,,,
michelle ,a,c,d,f,a,d,d,f,b,a
denise Risohacrdn,b,d,a,b,b,a,d,c,c,
DREW Thompson,a,c,b,b,,,,,,
VICKIE Rhodes,d,c,b,a,c,d,f,c,,
Emily Sherman,d,a,c,c,f,b,c,d,f,f
DIANE ,f,b,f,d,a,c,f,d,a,
Cassandra Mann,d,c,f,a,c,b,,,,
Janet Holt,d,d,f,d,c,b,,,,
Rhonda Webb,c,a,c,c,b,c,,,,
gail Avila,b,d,d,c,a,b,,,,
GEORGE ,c,c,c,b,a,b,d,b,c,
Valerie ,f,a,a,c,a,f,b,,,
BRADLEY ,c,f,a,a,a,d,f,,,
ASHLEE Jackson,c,a,a,a,f,f,,,,
Aelrbt Hayes,a,f,f,d,,,,,,
CLAIRE ,a,f,a,a,,,,,,
bnaedrn Carey,d,f,b,b,b,f,d,b,f,
Fcniars Erickson,f,b,a,c,b,,,,,
RALPH Clements,b,b,c,c,c,a,b,d,b,
KELLIE Morrow,c,d,a,a,a,d,d,d,b,d
