studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Sarah ,d,a,a,f,f,b,a,f,f,
heather ,b,a,a,c,,,,,,
Margaret Rush,d,d,b,f,,,,,,
cassidy Dcunan,f,f,c,,,,,,,
tammy ,a,c,a,f,c,,,,,
CRAIG Eeevtrt,f,c,c,d,d,d,b,d,,
RILEY Reirva,d,b,d,d,c,a,c,,,
Christine Taylor,a,b,c,c,f,d,,,,
Adrian Pirce,f,d,c,f,a,b,,,,
aaron ,f,a,f,a,d,b,f,f,,
Anna Orr,c,d,f,c,b,,,,,
deanna Brown,f,c,b,f,f,b,b,d,,
Michele ,f,d,f,b,c,f,a,c,b,
tara Rodriguez,d,a,b,f,f,b,d,a,c,c
ROGER Guerrero,b,a,a,f,,,,,,
Hector ,b,c,b,f,,,,,,
JAKE Howard,f,b,a,b,f,c,d,d,,
Gloria Ward,d,d,c,d,d,b,d,,,
GABRIELLE Pnea,b,d,c,d,c,c,f,d,f,b
Isaiah Garza,d,c,b,c,a,f,d,c,,
CLAYTON ,f,d,b,a,b,c,,,,
SALLY Crobsy,b,c,d,a,c,,,,,
Shawn ,a,d,b,d,c,f,c,,,
marissa Jnoes,a,c,f,b,c,f,a,a,,
