studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
sarah Ward,b,c,d,c,f,a,d,a,f,
Heather ,a,a,f,a,f,,,,,
Margaret Rush,c,b,d,f,d,f,b,d,,
Cassidy Duncan,b,a,d,f,c,b,,,,
TAMMY Chandler,f,b,a,d,b,a,b,c,b,b
CRAIG ,d,d,b,b,d,b,b,b,d,d
RELIY Rirvea,f,b,f,c,d,c,b,a,c,
christine Taylor,c,d,c,d,f,c,d,,,
adrian Pcire,f,c,d,d,d,,,,,
aaron Oliver,d,d,c,f,c,d,a,c,d,c
Anna Orr,b,b,a,c,b,,,,,
Deanna ,b,b,f,c,b,b,f,,,
michele Mcdonald,a,f,d,f,c,c,a,f,,
TRAA Rodriguez,c,a,b,b,,,,,,
roger Guerrero,d,b,d,f,f,c,c,c,,
hector Potter,f,f,d,a,c,,,,,
JAKE Hraowd,a,c,b,a,d,a,d,b,,
gloria ,b,f,f,b,b,,,,,
GIRELLBAE Pena,d,d,a,c,b,,,,,
isaiah Gzraa,a,f,a,f,c,b,f,,,
CLAYTON Kim,c,c,a,c,,,,,,
Sally ,f,d,b,a,c,b,d,f,,
shawn Odom,a,f,b,c,b,,,,,
msrisaa Jones,f,f,b,d,a,f,a,a,,
