studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Alecniga Kelly,c,b,b,,,,,,,
JALNCEQIUE Price,a,f,c,,,,,,,
Aleln Day,d,d,d,d,d,d,,,,
AMANDA ,c,b,b,d,b,f,b,f,c,c
Vicki Lcaeh,a,c,b,b,d,d,d,a,f,
KARA Geern,a,a,b,b,d,a,c,d,a,
Jennifer ,a,c,f,,,,,,,
ROSS Wilkins,c,c,a,f,a,c,d,a,b,
TRACY Shancez,a,d,c,f,a,a,b,f,d,
Eylven Carroll,f,a,f,,,,,,,
monica Setenvs,c,b,c,a,b,b,c,a,d,f
wanda ,b,a,a,d,a,a,f,c,b,b
Bianca Crosby,b,d,d,d,d,b,,,,
trevor Wehleer,c,f,b,f,f,a,d,,,
mike ,a,a,d,d,a,a,,,,
CHAD Yang,f,a,a,c,a,,,,,
JESSE Preston,b,d,d,c,,,,,,
CONNIE Conner,d,d,c,a,f,b,f,a,,
Jody ,f,c,a,c,f,a,d,,,
Destiny ,d,f,d,a,f,b,b,c,d,f
cytihna Gonzalez,a,a,b,c,a,b,,,,
Bnert Campos,d,d,a,,,,,,,
Meghan Thomas,f,d,b,b,,,,,,
vrcoitia Mhupry,f,f,d,c,,,,,,
Lori Carroll,c,c,a,f,f,f,c,,,
DONNA Clark,b,c,c,a,c,b,,,,
