studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
david ,a,a,b,,,,,,,
SHANNON Jackson,c,b,a,a,,,,,,
mark ,b,f,d,,,,,,,
Joseph Powers,c,f,c,f,c,f,c,f,b,
Justin Caery,f,b,d,d,a,,,,,
meagan Lcnyh,b,d,d,b,f,f,d,b,,
Felicia Perry,c,a,a,f,f,a,c,c,,
KYLIE ,d,f,d,d,,,,,,
JUDY Cetorz,b,a,c,d,f,,,,,
EDDIE ,d,a,a,a,f,a,d,a,,
jamie Dixon,b,f,f,,,,,,,
ANGEL Keller,c,f,c,f,c,f,a,a,c,
leah Sontrg,d,d,b,d,a,d,c,b,f,
daisy Mosirorn,a,f,b,c,a,b,f,,,
Axelis Stewart,c,b,b,a,c,d,c,a,,
johnny Frederick,a,f,f,f,a,,,,,
Marie Geern,a,c,a,f,a,a,d,d,b,
ALEXANDRIA Santos,d,f,c,d,f,f,b,b,a,
DEVON ,a,f,d,d,,,,,,
tommy Norman,f,f,b,,,,,,,
Ann Lopez,f,b,d,c,c,b,a,b,c,
