studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
sarah Ward,d,a,d,c,a,,,,,
Heather ,d,d,a,d,,,,,,
Margaret Rsuh,c,f,c,c,f,b,,,,
CASSIDY Duncan,c,c,a,c,d,,,,,
TMMAY Chnalder,c,c,d,b,c,d,c,f,d,
Craig ,f,b,b,d,f,a,,,,
riley Rivera,b,b,a,d,,,,,,
Christine ,a,c,a,a,,,,,,
ADRIAN Pirce,b,d,f,a,d,a,,,,
Aoarn Oliver,a,f,d,b,a,f,c,b,,
Anna ,b,d,b,a,d,f,d,f,c,b
Deanna ,a,d,b,f,b,b,a,d,b,
MIEHCLE Mcdonald,a,a,c,a,d,a,,,,
Tara Rodriguez,d,d,a,,,,,,,
ROGER Guerrreo,c,a,a,f,f,b,f,b,d,
Hector Potter,a,c,b,a,a,c,f,a,d,
JAKE Howard,f,a,c,d,a,f,d,,,
gloria Ward,a,f,a,d,f,b,,,,
gabrielle Pena,b,b,f,f,c,f,,,,
Isaiah ,c,a,a,a,,,,,,
Caotlyn Kim,d,b,f,b,a,b,a,d,,
sally Csobry,a,a,f,c,b,d,a,c,b,b
Shawn Odom,a,d,b,d,c,f,d,a,,
msiarsa Jnoes,c,d,b,d,f,f,,,,
