studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
DIVAD Powell,f,f,f,b,b,b,a,b,f,
SHANNON Jackson,a,c,c,,,,,,,
MARK ,a,c,c,a,a,b,d,f,c,b
JESOPH Powers,c,c,d,a,,,,,,
JTUSIN Craey,d,c,d,a,d,,,,,
mgaaen Lynch,b,d,f,,,,,,,
felicia Perry,b,b,f,a,f,c,a,c,d,
Kylie Cruz,c,c,d,a,d,,,,,
JUDY Cortez,d,c,d,d,a,d,a,f,,
EDDIE Gardner,a,f,f,c,a,f,b,a,,
Jamie Dixon,d,c,b,f,d,d,c,,,
angel Keller,f,b,b,a,b,,,,,
leah Srtong,d,b,c,d,,,,,,
daisy ,c,d,f,d,a,,,,,
Axelis Stewart,d,d,b,,,,,,,
Johnny Frederick,f,c,b,b,f,f,b,b,c,a
MIRAE Green,d,b,f,c,d,c,f,,,
Aadrexnlia Snaots,d,a,a,d,d,c,a,c,c,c
Devon ,f,c,a,b,f,d,d,f,,
Tommy ,c,a,f,c,d,,,,,
ANN Leopz,c,a,f,a,,,,,,
