studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
clinton Nguyen,d,b,d,b,c,b,d,b,c,d
PATRICK Fuller,f,a,d,d,a,b,b,,,
jeffrey Bowrn,f,c,a,c,d,c,f,f,,
Kristen Lee,d,b,d,,,,,,,
Mihcael Martin,a,c,f,b,,,,,,
DANIEL Herrera,a,f,b,d,f,b,a,,,
Charlotte ,b,d,f,d,d,f,,,,
BRIAN ,c,a,f,,,,,,,
SHERRI Garza,f,a,c,c,f,f,f,f,c,
Kelly Cneelmts,b,f,f,,,,,,,
ROBERT Bennett,b,a,c,b,b,f,d,a,,
cidny Parker,b,c,b,d,f,a,f,,,
cdoy Stone,f,f,d,a,d,d,a,c,,
TROY Sendyr,c,d,d,c,c,f,f,d,b,
lindsay ,c,a,d,b,,,,,,
DREOBAH Maddox,f,b,d,f,f,,,,,
SARHON Bowen,d,a,a,f,a,,,,,
gina ,a,c,f,f,d,b,f,a,b,
SAMUEL Sonwasn,a,a,c,a,b,f,a,d,,
ALLISON Lamb,b,c,a,c,,,,,,
GERG Barber,c,b,f,b,f,a,c,d,a,
ltoaya Wirght,a,b,f,d,d,,,,,
larry Mitrnaez,d,a,d,a,c,,,,,
Danielle ,b,c,a,b,a,,,,,
KAYLA Fuller,f,a,b,a,f,,,,,
evan Boyd,d,c,f,,,,,,,
carolyn ,b,c,b,c,f,c,b,f,,
GARY Adams,d,c,a,f,b,d,f,f,,
nathan Blair,f,f,b,a,b,b,b,f,a,
Gabriel Olson,a,c,d,c,f,d,f,b,b,a
BENJAMIN Harper,a,c,f,a,d,d,,,,
Gffeeroy Andersen,d,b,a,b,d,b,c,d,b,
jane ,a,a,d,d,f,a,b,c,,
