studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
CLINTON ,f,c,f,b,f,c,c,c,f,
PATRICK ,b,f,c,d,c,b,c,,,
Jeffrey ,b,d,b,b,,,,,,
kesirtn Lee,a,d,f,a,,,,,,
michael Martin,c,b,d,b,b,b,,,,
DANIEL Hreerra,a,d,b,d,c,a,b,c,,
cholrtate Aamds,a,f,d,f,b,d,a,b,c,
brian Hwraod,b,a,f,f,c,f,,,,
Sherri Gzara,a,c,a,,,,,,,
kelly Clements,c,d,d,d,,,,,,
ROBERT ,a,c,d,,,,,,,
Cindy Pakerr,a,c,b,a,,,,,,
CDOY Stone,a,b,b,f,d,,,,,
Troy Snyder,a,b,a,a,d,b,a,,,
lindsay Harris,f,c,c,f,,,,,,
DEBORAH ,c,d,d,c,c,c,a,d,d,
Sharon ,a,f,d,a,d,a,b,a,,
Gina Reese,f,a,c,f,c,c,,,,
smauel Swanson,d,d,f,f,d,f,,,,
allison Lamb,c,d,d,f,,,,,,
Greg ,a,f,a,c,f,a,d,b,,
Latoya Wright,c,c,d,d,d,,,,,
Larry ,a,c,d,a,,,,,,
Danielle Mlroaes,c,f,c,b,c,f,c,f,,
KAYLA Fuellr,f,b,b,c,d,f,,,,
evan ,c,d,b,b,c,d,f,a,,
CAROLYN Leach,b,a,c,d,a,f,,,,
Gary Adams,a,c,a,a,a,f,a,b,,
NATHAN Blair,c,b,a,c,c,b,a,,,
GABRIEL ,b,b,d,d,,,,,,
BENJAMIN Harper,d,d,f,b,f,d,d,b,d,d
GEOFFREY ,b,a,a,c,b,c,b,,,
Jane Betennt,a,a,d,b,a,a,c,d,a,f
