studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Laura Boyd,d,b,f,b,b,b,b,d,c,f
RACHEL Tmhaos,f,b,d,d,d,c,d,d,f,d
jraodn Hubbard,d,c,b,f,b,f,d,c,,
PATRICIA Perez,f,f,f,f,b,b,,,,
MIA ,c,a,a,c,a,a,f,,,
TAMARA ,d,a,a,b,c,a,c,,,
tiffany Ramos,b,f,c,c,b,,,,,
KIMBERLY Chnag,d,d,a,a,c,b,,,,
JESSICA ,f,f,a,d,a,d,b,,,
jcak Hoffman,d,d,d,b,b,f,c,d,,
Jeremiah Lane,a,b,b,a,a,d,f,,,
Louis Gutierrez,c,f,a,a,,,,,,
karen Gary,f,a,d,,,,,,,
gelard Poarnss,c,b,b,b,b,f,,,,
Mneaile Dickerson,c,b,a,a,d,b,a,b,,
Jonathon Fleming,a,f,a,a,b,d,a,,,
Ktsrniia Williams,b,a,f,d,f,f,b,a,,
Tina Sginh,a,d,f,d,c,f,f,,,
natasha ,a,d,d,d,c,d,c,d,c,f
doris Powell,a,b,a,,,,,,,
crystal ,f,d,d,b,c,,,,,
Virginia ,d,b,c,a,a,b,f,a,,
teresa ,a,f,f,a,d,d,,,,
COLLEEN Huang,f,a,d,,,,,,,
ADRIENNE Stevens,f,a,a,a,f,c,a,,,
KATIE Jensen,d,d,d,d,,,,,,
alexa ,d,b,c,c,c,a,c,a,f,b
