studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Roibn Wiley,c,b,d,b,a,a,,,,
Veronica ,b,c,c,f,c,f,b,,,
susan Gonzalez,d,d,c,d,b,a,f,,,
Annthoy Hersodenn,f,f,c,d,d,f,d,f,d,b
JUOHSA Stewart,c,b,c,f,d,c,a,a,a,f
GLEN ,b,c,f,d,d,,,,,
curtis Dnun,b,d,f,f,a,d,d,,,
alicia Frederick,b,f,f,d,b,a,b,,,
Leuarn Hayes,a,a,c,b,a,d,a,b,,
nliahcos Blair,c,c,b,f,b,f,d,f,d,d
hannah Benton,b,a,d,b,a,c,,,,
Kelsey Fields,a,f,f,,,,,,,
JARED ,b,a,a,b,,,,,,
BOBBY Lpeoz,d,c,c,,,,,,,
tabitha Liu,c,b,c,f,b,c,a,,,
Julie Clark,f,d,c,f,b,c,d,b,d,a
misty ,c,f,f,d,,,,,,
tracey Hudson,b,b,a,c,,,,,,
kathleen ,c,d,c,c,d,,,,,
rachael Pnrcie,f,c,d,b,d,a,b,b,d,
BRITTANY ,c,a,a,a,c,b,b,c,b,d
Jon Etoan,a,a,c,d,,,,,,
AUSTIN ,f,b,f,,,,,,,
georrgy Kennedy,f,b,f,c,a,f,a,d,b,b
katherine Benjamin,d,f,a,a,b,c,b,a,b,
BELINDA ,b,a,c,c,b,d,,,,
LINDSEY ,b,f,d,a,c,b,a,a,d,
carlos ,d,d,f,c,a,a,f,,,
REGINA Morgan,f,a,c,f,a,c,b,b,d,
Wethniy Hubbard,d,d,b,f,c,a,a,f,c,
ardne Bllocuk,b,c,d,d,b,,,,,
edward ,a,c,d,a,f,d,c,,,
